Electrónica;máquina
Automatización;intenta
Sistemas;vista
tiene;total
Datos;entrada
Numeros ;salida
Inteligentes;duración
Mente;mediante
Archivo;experimientos
Cerebro;siempre
Circuitos;cuando 
Todo;programas
Correcto;objetivos
Funcionamiento;deseados
Buscar;general 
Texto;leyes
Imprimir;avance
Estudiante;científico
Nombre;ramas
Fecha;redes
Como;neuronales
Monitoreo;algoritmos
Porque;mundo
Partes;real
Inteligencia;precio
Artificial;alto
Compresión;significado
Hombre;etapas
Mujer;consta
Modelo;variables
Natural;calificaciones
Entidades;cerebro
Soluciones ;detalles
Expertos;matemáticos
Lenguaje;trabajo
Robótica;datos
Lógica;determinar
Actuar;optimización
Forma ;estrategias
Racional;principios
Pensar;natural
Leyes;mejor
Pensamientos;configuración
enfoque;función
Computadora;candidatos
Aprendizaje;genético
Prueba;marcadores
Razonar;diseño
Aprender;prototipo
Ofrecer;tratamiento
